藥品代碼,商品名,成份,ATC_CODE1,抗生素
ABI02O,Abilify,aripiprazole,N05AX12,N
ABI03O,ABILIFY,aripiprazole,N05AX12,N
ABI04I,Abilify,aripiprazole,N05AX12,N
ABI04O,Abiratred,abiraterone acetate,L02BX03,N
ACA01O,Acarose,acarbose,A10BF01,N
ACA02O,A-Cal,calcium carbonate 500mg,A02AC01,N
ACD01I,ACD,"sodium citrate, citric acid",B05CB02,N
ACE01I,Acemycin,amikacin sulfate,J01GB06,Y
ACE02I,Acetamol,propacetamol,N02BE05,N
ACE04O,Acemet,acemetacin,M01AB11,N
ACE05O,Acetazolamide,acetazolamide,S01EC01,N
ACL01E,Aclovir,acyclovir,D06BB03,N
ACL01I,Aclasta,zoledronic acid,M05BA08,N
ACT01I,Actemra,tocilizumab,L04AC07,N
ACT01O,Actos,pioglitazone hydrochloride,A10BG03,N
ACT02I,Actilyse,recombinant human tissue-type plasminoge,B01AD02,N
ACT02O,ACTEIN,acetylcysteine,R05CB01,N
ACT03I,Actrapid,human insulin (regular),A10AB01,N
ACT06O,Actein,acetylcysteine,R05CB01,N
ACT07I,Actemra,tocilizumab,L04AC07,N
ACT08I,ACTEMRA,tocilizumab,L04AC07,N
ACY02O,Acylo,acyclovir,J05AB01,Y
ACZ01E,Aczo,benzoyl peroxide 5%,D10AE01,N
ADE01I,Adenocor,adenosine,C01EB10,N
ADE01O,Adempas,riociguat,C02KX05,N
ADE02O,ADEMPAS,riociguat,C02KX05,N
ADR02I,Adrenalin,epinephrine,C01CA24,N
ADV01O,Advagraf,tacrolimus,L04AD02,N
ADV02O,ADVAGRAF,tacrolimus,L04AD02,N
ADV03O,ADVAGRAF,tacrolimus,L04AD02,N
AET02I,Aethoxysklerol,polidocanol,C05BB02,N
AFI01O,Afinitor,everolimus,L01EG02,N
AGG01I,Aggrastat,tirofiban hcl,B01AC17,N
AGG02I,Agglutex,heparin sodium,B01AB01,N
AGR01O,Agrylin,anagrelide (hcl),L01XX35,N
AJO01I,Ajovy,fremanezumab,N02CD03,N
AKU01O,AKuriT-3,"ethambutol hcl,isoniazid,rifamycin",J04AC51,N
AKU02O,AKuriT-4,"ethambutol,isoniazid,pyrazinamide,rifamp",J04AM06,N
AKY01O,Akynzeo,"netupitant,palonosetron",A04AA55,N
ALC02E,Alcos-Anal,sod. oleate,C05AX03,N
ALC03E,Alcaine,proparacaine,S01HA04,N
ALC04E,Alcos-Anal,sod. oleate,C05AX03,N
ALC16E,Alcohol,alcohol,D08AX08,N
ALC17E,Alcohol,alcohol,D08AX08,N
ALC19E,Alcohol,alcohol,,N
ALD03E,Aldara,imiquimod,D06BB10,N
ALE01I,Aleviatin,phenytoin sodium,N03AB02,N
ALE01O,Alecensa,alectinib hcl,L01ED03,N
ALF01O,Alfacalcidol,alfacalcidol,A11CC03,N
ALF03I,Alfentanil,alfentanil hcl,N01AH02,N
ALG01O,Algitab,"alginic acid, mgco3, al(oh)3, etc",A02AX,N
ALG01S,Alginos,"alginate sodium,calcium carbonate,sodium",A02AX,N
ALG02O,Acamprosate,acamprosate calcium,N07BB03,N
ALI01O,Alinamin-F,"thiamine, riboflavin",A11JA,N
ALK01O,Alkeran,melphalan,L01AA03,N
ALL01S,All-Right,"calcium phosphate tribasic,vit a,vit d3",A12AX,N
ALL02O,Allegra,fexofenadine hcl,R06AX26,N
ALO01I,Aloxi,palonosetron,A04AA05,N
ALP02E,Alphagan,brimonidine tartrate,S01EA05,N
ALU02O,Aluminum,al(oh)3,A02AB01,N
ALV01I,Alvosteo,teriparatide,H05AA02,N
AMA02O,Amaryl,glimepiride,A10BB12,N
AMA03O,AMARYL,"glimepiride,metformin hcl",A10BD02,N
AMB01I,Ambisome,(amphotericin b) liposome,J02AA01,Y
AMI01O,Amizide,"hydrochlorothiazide, amiloride hcl",C03EA01,N
AMI12I,Aminopoly-H,amino acids,B05BA01,N
AMI13I,Aminosteril,amino acids,B05BA01,N
AMO01I,AmoClav,amoxicillin+clavulanate,J01CR02,Y
AMO01O,Amoxicillin,amoxicillin,J01CA04,Y
AMO05S,Amoxycillin,amoxicillin,J01CA04,Y
AMP01O,Ampicillin,ampicillin,J01CA01,Y
AMP02I,Ampholipad,(amphotericin b) liposome,J02AA01,Y
AMP03I,Ampolin,ampicillin,J01CA01,Y
AMT01O,Amtrel,"amlodipine 5mg ,benazepril 10mg",C09BB,N
AND01O,Androcur,cyproterone acetate,G03HA01,N
ANE03I,Anexate,flumazenil,V03AB25,N
ANG02I,Angidil,isosorbide dinitrate,C01DA08,N
ANO01E,Anoro,"umeclidinium,vilanterol",R03AL03,N
ANP01I,Anpo,ritodrine hcl,G02CA01,N
ANP01O,Anpo,ritodrine hcl,G02CA01,N
ANT01I,Antifect,cefepime,J01DE01,Y
ANT02E,Antigerm,chlorhexidine gluconate,D08AC02,N
ANT03I,Antivenin,antivenin,J06AA03,N
ANT04E,Antol,atropine sulfate,S01FA01,N
ANT06I,Antivenin,antivenin,J06AA03,N
ANT06O,Antibiophilus,lactobacillus casei rhamnosus,A07FA01,N
ANT07I,Antivenin,antivenin,J06AA03,N
ANT09S,Anti-Phen,acetaminophen,N02BE01,N
ANX01I,Anxicam,lorazepam,N05BA06,N
API01I,Apidra,insulin glulisine,A10AB06,N
APO01O,Apo-Atomoxetine,atomoxetine,N06BA09,N
APO04O,APO-ATOMOXETINE,atomoxetine,N06BA09,N
APR06O,Aprezin,hydralazine,C02DB02,N
AQU02E,Aqua,chlorhexidine gluconate,D08AC02,N
ARA01O,Arax,hydroxyzine,N05BB01,N
ARE02I,RSV,rsv antigen,J07BX05,N
ARH01O,Arheuma,leflunomide,L04AA13,N
ARI02O,Arimidex,anastrozole,L02BG03,N
ARI03O,Aricept,donepezil hcl,N06DA02,N
ARO01O,Aromasin,exemestane,L02BG06,N
ART01E,Artiss,"human thrombin, calcium chloride, aproti",B02AB01,N
ART02E,Artelac,methylhydroxypropyl cellulose,S01XA20,N
ASA01E,Asacol,mesalazine,A07EC02,N
ASA03O,Asacol,mesalazine,A07EC02,N
ASC01O,Ascofen,aceclofenac,M01AB16,N
ASI01I,Asiphylline,aminophylline,R03DA05,N
ASP05O,Aspirin(強生),aspirin (acetylsalicylic acid),N02BA01,N
ATA02O,Atanaal,nifedipine,C08CA05,N
ATH01S,Athmin,ketotifen,R06AX17,N
ATI01O,Ativan,lorazepam,N05BA06,N
ATO02O,ATOZET,"ezetimibe,atorvastatin",C10BA05,N
ATR01I,Atropine,atropine sulfate,A03BA01,N
ATR05E,Atropine,atropine sulfate,S01FA01,N
AUB01O,Aubagio,teriflunomide,L04AA31,N
AUG04S,Augmentin,amoxicillin+clavulanate,J01CR02,Y
AVA01E,Avamys,fluticasone furoate,R01AD12,N
AVE01I,Avelox,moxifloxacin (hcl),J01MA14,Y
AVE01O,Avelox,moxifloxacin (hcl),J01MA14,Y
AVO01O,Avodart,dutasteride,G04CB02,N
AZA01E,Azarga,"brinzolamide, timolol maleate",S01ED51,N
AZE01E,Azetin,azelastine hcl,R01AC03,N
AZO03E,Azopt,brinzolamide,S01EC04,N
BAI01I,Bain,nalbuphine hydrochloride,N02AF02,N
BAK01O,Baktar,"sulfamethoxazole,trimethoprim",J01EE01,Y
BAR02O,Baraclude,entecavir,J05AF10,N
BAR03O,BARACLUDE,entecavir,J05AF10,N
BEE01O,Beesix,pyridoxine hcl,A11HA02,N
BEF01O,Befon,baclofen,M03BX01,N
BEN02I,Benlysta,belimumab,L04AA26,N
BEN03I,BENLYSTA,belimumab,L04AA26,N
BEO01I,Beovu,brolucizumab,S01LA06,N
BEO02I,Beovu,brolucizumab,S01LA06,N
BER01I,Beriplex,"factor ii、vii、ix、x, protein c, protei",B02BD01,N
BER05E,BeroDUAL,"fenoterol hydrobromide,ipratropium bromi",R03AL01,N
BES02I,Besremi,ropeginterferon alfa-2b,L03AB15,N
BET01O,Betmiga,mirabegron,G04BD12,N
BET02O,BETMIGA,mirabegron,G04BD12,N
BET07O,BETALOC,metoprolol,C07AB02,N
BET14E,Betadine,povidone-iodine,R02AA15,N
BEV01E,Bevespi,"formoterol fumarate dihydrate,glycopyrro",R03AL07,N
BEX01I,Bexsero,recombinant neisseria meningitidis group,J07AH09,N
BEY01I,Beyfortus,nirsevimab,J06BD08,N
BEY02I,BEYFORTUS,nirsevimab,J06BD08,N
BFL01I,Bfluid,"amino acids, glucose, electrolytes",B05BA10,N
BIC03I,Bicillin,benzathine benzylpenicillin,J01CE08,Y
BIN01O,Binin-U,haloperidol,N05AD01,N
BIO01E,Biodyne,povidone-iodine,D08AG02,N
BIO02O,Bio-Cal,"cholecalciferol,tribasic calcium phospha",A12AA01,N
BIO03O,Bioflor,saccharomyces boulardii cncm i-745,A07FA01,N
BIO06O,Biofermin-R,antibiotics-resistant lactic acid bacter,A07FA01,N
BIP01O,Biperin,biperiden hcl,N04AA02,N
BIP02I,Bipiden,biperiden lactate,N04AA02,N
BIS01O,Bismuth,bismuth,A07BB,N
BIS02E,Bisadyl,bisacodyl,A06AB02,N
BIS03S,Bisolvon,bromhexine,R05CB02,N
BIS04O,Bisacodyl,bisacodyl,A06AB02,N
BLO01O,Blopress,candesartan cilexetil,C09CA06,N
BLO02O,Bloodfull,"fe fumarate,folic acid,b1,b2,b12,nicotin",B03AE02,N
BLO03O,BLOPRESS,"candesartan cilexetil,hydrochlorothiazid",C09DA06,N
BOB01I,Bobimixyn,polymyxin b sulfate,J01XB02,Y
BOK01O,Bokey,aspirin (acetylsalicylic acid),B01AC06,N
BOO01I,Boostrix,"diphtheria toxoid,pertussis toxoid,tetan",J07AJ52,N
BOT01I,Botox,clostridium botulinum toxin type a,M03AX01,N
BOT04I,Botox,clostridium botulinum toxin type a,M03AX01,N
BOW01O,Bowklean,"magnesium oxide, picosulfate sodium, cit",A06AB58,N
BRA01O,Braftovi,encorafenib,L01EC03,N
BRE01E,Breztri,"budesonide micronized,formoterol fumarat",R03AL11,N
BRI01O,BRILINTA,ticagrelor,B01AC24,N
BRI02O,Brintellix,vortioxetine hydrobromide,N06AX26,N
BRI03O,Briviact,brivaracetam,N03AX23,N
BRO02I,Brosym,"cefoperazone,sulbactam",J01DD62,Y
BRO02O,Broen-C,"l-cysteine, bromelain",D03BA03,N
BRO07S,Brown,compound glycyrrhiza mixture(with opium),R05FA02,N
BRU01O,Brukinsa,zanubrutinib,L01EL03,N
BUP01O,Bupion,bupropion hcl,N06AX12,N
BUR01I,Burinex,bumetanide,C03CA02,N
BUS01I,Buscopan,hyoscine-n-butylbromide,A03BB01,N
BUS03O,Busix,bumetanide,C03CA02,N
CAB01O,Cabometyx,cabozantinib,L01EX07,N
CAD02O,CADUET,"amlodipine,atorvastatin",C10BX03,N
CAL01E,Calmsit,"betamethasone,lidocaine,phenylephrine",C05AA05,N
CAL10I,Calcitonin,salmon calcitonin,H05BA01,N
CAL10O,Calquence,acalabrutinib,L01EL02,N
CAM05O,Camisan,terbinafine,D01BA02,Y
CAN01O,Canaglu,canagliflozin hydrate,A10BK02,N
CAP04O,Caprelsa,vandetanib,L01EX04,N
CAR01O,Carbomix,activated charcoal,A07BA01,N
CAR03O,Carvedilol,carvedilol,C07AG02,N
CAR04O,Cartil,diltiazem hcl,C08DB01,N
CAR05O,Carbizo,carbimazole,H03BB01,N
CAR06S,Cardiacin,digoxin,C01AA05,N
CAR07O,Cardol,sotalol,C07AA07,N
CAR08O,Cardolol,propranolol,C07AA05,N
CAR09O,Carpine,carbamazepine,N03AF01,N
CAS02S,Castor,castor oil,A06AB05,N
CAS03O,Casodex,bicalutamide,L02BB03,N
CAT01E,Cationorm,"light mineral oil,mineral oil",S01XA20,N
CAT01O,Catapres,clonidine hcl,C02AC01,N
CAT03O,Catilon,otilonium bromide,A03AB06,N
CBO01E,C.B.,"chlorpheniramine,hexachlorophene,methyl",D04AA,N
CEF01I,Ceftriaxone,ceftriaxone,J01DD04,Y
CEF01O,Ceflour,cefuroxime,J01DC02,Y
CEF09I,Cefe,cefmetazole,J01DC09,Y
CEL02O,Cellcept,mycophenolate mofetil,L04AA06,N
CEL04O,Celebrex,celecoxib,M01AH01,N
CEL05O,CELLCEPT,mycophenolate mofetil,L04AA06,N
CEP04O,Ceporin,captopril,C09AA01,N
CEP05O,Cephalexin,cephalexin,J01DB01,Y
CER03I,Cerebrolysin,cerebrolysin concentrate,C04AX,N
CER03O,Certican,everolimus,L04AA18,N
CER04O,CERTICAN,everolimus,L04AA18,N
CET01S,Cetirizine,cetirizine,R06AE07,N
CEX01O,Cexime,cefixime,J01DD08,Y
CHA01E,Chanton,"glycerin,sodium chloride",A06AG04,N
CHA02O,Champix,varenicline,N07BA03,N
CHA03O,CHAMPIX,varenicline,N07BA03,N
CHE01I,Chenday,labetalol,C07AG01,N
CHE01S,Micrsoy,大豆發酵液,,N
CHL02E,Chloramphenicol,chloramphenicol,S01AA01,N
CHL07E,Chlorhexidine,chlorhexidine gluconate,D08AC02,N
CHO01O,Choles,cholestyramine,C10AC01,N
CHY01E,Chyndacin,clindamycin,D10AF01,N
CIA02O,Cialis,tadalafil,G04BE08,N
CIB01O,Cibinqo,abrocitinib,D11AH08,N
CIM01I,Cimzia,certolizumab,L04AB05,N
CIN01I,Cinolone,ciprofloxacin,J01MA02,Y
CIN02O,Cinolone,ciprofloxacin,J01MA02,Y
CIN03O,Cinaca,cinacalcet hydrochloride,H05BX01,N
CIN04O,Cintsu,verapamil,C08DA01,N
CIT01O,Citao-S,escitalopram oxalate,N06AB10,N
CIV01E,Cividoid,heparinoid,C05BA01,N
CLA01I,Claforan,cefotaxime sodium,J01DD01,Y
CLA04O,Claricin,clarithromycin,J01FA09,Y
CLI02I,Clincin,clindamycin,J01FF01,Y
CLO01S,Clodrin,chloral hydrate,N05CC01,N
CLO02E,Clobetasol,clobetasol propionate,D07AD01,N
CLO03E,Clomazole,clotrimazole,G01AF02,N
CLO03O,Clopine,clozapine,N05AH02,N
CLO04E,Clobex,clobetasol propionate,D07AD01,N
CLO05O,Clomiphene,clomiphen,G03GB02,N
CLO07E,Clotrimazole,clotrimazole,G01AF02,N
COD01E,Codemycin,"hydrocortisone acetate,neomycin sulfate",S01CA03,N
COD01O,Codeine,codeine,R05DA04,N
COF01O,Cofarin,warfarin,B01AA03,N
COL01O,Colchicine,colchicine,M04AC01,N
COL02I,Colimycin,colistin methanesulfonate,J01XB01,Y
COL04E,Colasa,mesalazine,A07EC02,N
COM02E,Combivent,"ipratropium,salbutamol",R03AL02,N
COM03E,Combigan,"brimonidine tartrate,timolol",S01ED51,N
COM05O,Compesolon,prednisolone,H02AB06,N
CON01O,Conslife,"bisacodyl,dioctyl sodium,sennoside",A06AB02,N
CON06O,CONCOR,bisoprolol fumarate,C07AB07,N
CON07O,Concerta,methylphenidate,N06BA04,N
CON08O,Concor,bisoprolol fumarate,C07AB07,N
CON09O,CONCERTA,methylphenidate,N06BA04,N
CON10O,Const-K,potassium chloride,A12BA01,N
CON11O,CONCERTA,methylphenidate,N06BA04,N
CON12O,Convulex,sodium valproate,N03AG01,N
CON13O,Contrave,"bupropion hcl,naltrexone hcl",A08AA62,N
COP02I,Copaxone,glatiramer acetate,L03AX13,N
COR01O,Cortisone,cortisone acetate,H02AB10,N
COR02O,Coralan,ivabradine,C01EB17,N
COR03O,Cortiment,budesonide,A07EA06,N
COR05I,Cordarone,amiodarone hcl,C01BD01,N
COR05O,Cordarone,amiodarone hcl,C01BD01,N
COS02E,Cosopt,"dorzolamide,timolol",S01ED51,N
COS02I,Cosentyx,secukinumab,L04AC10,N
COU12S,Cough,platycodon fluidextract,R05FA02,N
COV01I,Covorin,folinic acid,V03AF03,N
COW01O,Cowbalin,mebendazole,P02CA01,N
CRA01E,Cravit,levofloxacin,S01AE05,N
CRA02O,Cravit,levofloxacin,J01MA12,Y
CRA03I,Cravit,levofloxacin,J01MA12,Y
CRE01I,Cresemba,isavuconazonium sulfate,J02AC05,Y
CRE01O,Crestor,rosuvastatin,C10AA07,N
CRE02O,Cretrol,"ezetimibe,rosuvastatin",C10BA06,N
CRE03O,Cresemba,isavuconazonium sulfate,J02AC05,Y
CUB01I,Cubicin,daptomycin,J01XX09,Y
CUR01O,Curam,amoxicillin+clavulanate,J01CR02,Y
CYA01I,Cyanocobalamin,cyanocobalamin,B03BA01,N
CYM01I,Cymevene,ganciclovir,J05AB06,Y
CYP01S,Cypromin,cyproheptadine hcl,R06AX02,N
CYT01I,Cytotect,"human immunoglobulin, cytomegalovirus an",J06BB09,N
CYT02O,Cytotec,misoprostol,A02BB01,N
DAF01O,Daflon,"diosmin,hesperidin",C05CA03,N
DAI01E,Daivonex,calcipotriol,D05AX02,N
DAI03E,Daivobet,"calcipotriol,betamethasone",D05AX52,N
DAL01O,Dalmadorm,flurazepam hcl,N05CD01,N
DAM01O,Dampurine,bethanechol chloride,N07AB02,N
DAY01O,Dayvigo,lemborexant,N05CM21,N
DEF02I,Deferoxamine,deferoxamine methane sulphonate,V03AC01,N
DEH01O,Dehypotin,pravastatin,C10AA03,N
DEL03O,Delcopan,dextromethorphan hbr,R05DA09,N
DEM01I,Demerol,pethidine,N02AB02,N
DEP01I,Depakine,sodium valproate,N03AG01,N
DEP01O,Depakine,sodium valproate,N03AG01,N
DEP02O,Depakine,sodium valproate,N03AG01,N
DEP03O,Depyretin,acetaminophen,N02BE01,N
DEP04S,Depakine,sodium valproate,N03AG01,N
DER03E,Derma,hydroquinone,D11AX11,N
DES03I,Desferrioxamine,deferoxamine methane sulphonate,V03AC01,N
DET02O,DETRUSITOL,tolterodine l-tartrate,G04BD07,N
DEV01E,Devirus,acyclovir,S01AD03,N
DEX01O,Dex-CTM,dexchlorpheniramine maleate,R06AB02,N
DEX02I,Dexamethasone,dexamethasone,H02AB02,N
DEX03I,Dextrose,glucose,B05BA03,N
DEX03O,Dexamethasone,dexamethasone,H02AB02,N
DIA01O,Diapin,diazepam,N05BA01,N
DIA03O,Diane-35,"cyproterone 2mg,ethinylestradiol 0.035mg",G03HB01,N
DIA04I,Diagnogreen,indocyanine green,V04,N
DIA04O,Diamicron,gliclazide,A10BB09,N
DIF01E,Difflam,benzydamine hcl,A01AD02,N
DIF01I,Diflucan,fluconazole,J02AC01,Y
DIF02E,Differin,adapalene,D10AD03,N
DIF02O,Dificid,fidaxomicin,A07AA12,Y
DIL01O,Dilantin,phenytoin,N03AB02,N
DIM04O,Dimotil,"pancreatin,metoclopramide",A03FA01,N
DIO01O,Diovan,valsartan,C09CA03,N
DIP02O,Dipyridamole,dipyridamole,B01AC07,N
DIP03O,Diphenidol,diphenidol,N07CA,N
DIP06I,Dipeptiven,"l-alanine,l-glutamine",A16AA03,N
DIP08I,Diphereline,triptorelin,L02AE04,N
DIP09I,Diphenhydramine,diphenhydramine hcl,R06AA02,N
DIQ01E,Diquas,diquafosol sodium,S01XA,N
DIT01O,Ditropan,oxybutynin chloride,G04BD04,N
DIV01E,Divigel,estradiol,G03CA03,N
DON02O,Donepezil,donepezil,N06DA02,N
DOP01O,Dopadine,amantadine sulfate,N04BB01,N
DOP02I,Dopamin,dopamine hcl,C01CA04,N
DOR01I,Dormicum,midazolam,N05CD08,N
DOR03O,Dormicum,midazolam,N05CD08,N
DOR04I,Dormicum,midazolam,N05CD08,N
DOR04O,Dorison,dexamethasone,H02AB02,N
DOS01O,Dostinex,cabergoline,G02CB03,N
DOX01O,Doxaben,doxazosin,C02CA04,N
DOX02O,Doxymycin,doxycycline,J01AA02,Y
DOX03O,Doxaben,doxazosin,C02CA04,N
DOX04O,Doxepin,doxepin,N06AA12,N
DRO01I,Dropel,droperidol,N05AD08,N
DUA01E,Duasma,budesonide,R03BA02,N
DUF01E,Dufanas,"azelastine hydrochloride,fluticasone pro",R01AD58,N
DUO01E,Duofilm,"salicylic acid, lactic acid",D02AF,N
DUO01O,Duodart,"dutasteride, tamsulosin",G04CA52,N
DUP01I,Dupixent,dupilumab,D11AH05,N
DUP04O,Dupin,diazepam,N05BA01,N
DUR01I,Duratocin,carbetocin,H01BB03,N
DUR05E,Duratears,mineral oil,S01XA20,N
DUX01O,Duxetine,duloxetine hcl,N06AX21,N
DYN01I,Dynastat,parecoxib,M01AH04,N
DYS01I,Dysport,clostridium botulinum toxin type a,M03AX01,N
EAR01E,Earflo,ofloxacin hcl,S02AA16,N
EAS01E,Easy,chlorhexidine gluconate,D08AC02,N
EAS02E,Easy,chlorhexidine gluconate,D08AC02,N
ECO03E,Econazine,"econazole nitrate 1%,triamcinolone acet",D01AC20,N
ECT02O,Ectrin,erdosteine,R05CB15,N
EDA01O,Edarbi,azilsartan medoxomil,C09CA09,N
EDI01O,Ediol,estradiol,G03CA03,N
EFE02O,EFFEXOR,venlafaxine (hcl),N06AX16,N
EFE03O,Effexor,venlafaxine (hcl),N06AX16,N
EFI01O,EFIENT,prasugrel hydrochloride,B01AC22,N
EFI02O,Efient,prasugrel hydrochloride,B01AC22,N
EFI03O,EFIENT,prasugrel hydrochloride,B01AC22,N
EFU01E,Efucon,metronidazole,D06BX01,N
ELI01I,Eligard,leuprorelin acetate,L02AE02,N
ELI02E,Elidel,pimecrolimus,D11AH02,N
ELI02I,Eligard,leuprorelin acetate,L02AE02,N
ELI02O,ELIQUIS,apixaban,B01AF02,N
ELI03E,Elisone,mometasone furoate,D07AC13,N
ELI03O,Eliquis,apixaban,B01AF02,N
ELT01O,Eltroxin,"thyroxine sodium, anhydrous",H03AA01,N
EME01O,Emetrol,domperidone,A03FA03,N
EME02O,Emend,aprepitant,A04AD12,N
EME03O,Emend,aprepitant,A04AD12,N
EML01E,Emla,"lidocaine,prilocaine",D04AB01,N
ENB01I,ENBREL,etanercept,L04AB01,N
ENB02I,Enbrel,etanercept,L04AB01,N
END02O,Endoxan,cyclophosphamide,L01AA01,N
ENG01I,Engerix-B,hepatitis b vaccine,J07BC01,N
ENO01E,Enoxolone,enoxolone,D03AX10,N
ENS01I,Enspryng,satralizumab,L04AC19,N
ENT01I,Entyvio,vedolizumab,L04AA33,N
ENT01O,Entresto,sacubitril/valsartan,C09DX04,N
ENT02I,Entyvio,vedolizumab,L04AA33,N
ENT02O,ENTRESTO,sacubitril/valsartan,C09DX04,N
ENT03O,Entresto,sacubitril/valsartan,C09DX04,N
ENV01I,EnVAX-A71,enterovirus 71,J07BX06,N
ENV02I,Envacgen,enterovirus 71,J07BX06,N
EPB01O,Epbutol,ethambutol,J04AK02,N
EPC01O,Epclusa,"sofosbuvir,velpatasvir",J05AP55,N
EPH01I,Ephedrine,ephedrine,C01CA26,N
EPI01E,Epirenin,epinephrine,B02BC09,N
EPO02I,Eprex,recombinant human erythropoietin (r-huep,B03XA01,N
EQU01O,Equfina,safinamide,N04BD03,N
ERA01I,Eraxis,anidulafungin,J02AX06,Y
ERA02O,Eraflu,oseltamivir,J05AH02,N
ERE01I,Erelzi,etanercept,L04AB01,N
ERG01O,Ergometrine,ergonovine maleate,G02AB03,N
ERL01O,Erleada,apalutamide,L02BB05,N
ERY03O,Erythromycin,erythromycin,J01FA01,Y
ESM01I,Esmeron,rocuronium bromide,M03AC09,N
ESM02I,Esmolol,esmolol hcl,C07AB09,N
EST04O,Estromon,conjugated estrogens,G03CA57,N
ESV01E,Esvatin,estriol,G03CA04,N
ESZ01O,Eszo,estazolam,N05CD04,N
ETU01O,Etumine,clotiapine,N05AH06,N
EUR02O,Euricon,benzbromarone,M04AB03,N
EVA01E,Evac,"sodium biphosphate,sodium phosphate",A06AG01,N
EVE01I,Evenity,romosozumab,M05BX06,N
EVI01O,Evista,raloxifene hcl,G03XC01,N
EVO01O,Evoxac,cevimeline hcl,N07AX03,N
EXE01E,Exelderm,sulconazole nitrate,D01AC09,N
EXE02E,Exelderm,sulconazole nitrate,D01AC09,N
EXE03E,Exelon,rivastigmine,N06DA03,N
EXE04O,Exelon,rivastigmine,N06DA03,N
EXE05O,EXELON,rivastigmine,N06DA03,N
EXE06O,Exelon,rivastigmine,N06DA03,N
EXF01O,Exforge(二合一),"amlodipine 5mg, valsartan 80mg",C09DB01,N
EXT01I,Extencilline,benzathine benzylpenicillin,J01CE08,Y
EYB01E,Eybelis,omidenepag isopropyl,S01EX06,N
EYL01I,Eylea,aflibercept,S01LA05,N
EYL02I,Eylea,aflibercept,S01LA05,N
EYL03I,EYLEA,aflibercept,S01LA05,N
EYL04I,EYLEA,aflibercept,S01LA05,N
EZE01O,Ezetrol,ezetimibe,C10AX09,N
FAB01I,Fabrazyme,agalsidase beta,A16AB04,N
FAM01O,Famo,famotidine,A02BA03,N
FAM02O,Famvir,famciclovir,J05AB09,Y
FAS01I,Faslodex,fulvestrant,L02BA03,N
FAS02I,Faslodex,fulvestrant,L02BA03,N
FAS03I,Fasturtec,rasburicase,V03AF07,N
FAS04I,Fasenra,benralizumab,R03DX10,N
FEB01O,Feburic,febuxostat,M04AA03,N
FEB02I,Fe-Back,iron sucrose,B03AC,N
FEL02O,Felpin,felodipine,C08CA02,N
