藥品代碼,商品名,成份,ATC_CODE1,抗生素
FEM01O,Femara,letrozole,L02BG04,N
FEN01E,Fentanyl,fentanyl,N02AB03,N
FEN01I,Fentanyl,fentanyl,N01AH01,N
FEN02E,FENTANYL,fentanyl,N02AB03,N
FEN03E,Fentanyl,fentanyl,N02AB03,N
FEN06I,Fentanyl,fentanyl,N01AH01,N
FER01I,Feronsure,interferon alpha-2a,L03AB04,N
FER03O,Ferrum,iron,B03AB05,N
FES01E,Fespixon,"centella asiatica,plectranthus amboinicu",D03AX,N
FET01I,Fetroja,cefiderocol,J01DI04,Y
FIL01I,Filgrastim,filgrastim,L03AA02,N
FIL03I,FILGRASTIM,filgrastim,L03AA02,N
FIR01I,Firmagon,degarelix,L02BX02,N
FLE02I,Flexbumin,human albumin,B05AA01,N
FLI03E,Flixotide,fluticasone propionate,R03BA05,N
FLO01O,Florinef,fludrocortisone acetate,H02AA02,N
FLU01O,Flupine,fludiazepam,N05BA17,N
FLU01S,Fluzole,fluconazole,J02AC01,Y
FLU02E,Flucason,fluorometholone,S01BA07,N
FLU02O,Flusine,flucytosine,J02AX01,Y
FLU03O,Fluitran,trichlormethiazide,C03AA06,N
FLU04O,Fluzine,flunarizine (2hcl),N07CA03,N
FLU05I,Fluanxol,flupenthixol decanoate,N05AF01,N
FLU06O,Fluene,fluconazole,J02AC01,Y
FLU07I,Fluorescite,fluorescein sodium,S01JA01,N
FLU09E,FluMist,type a、a、b  influenza like virus,J07BB03,N
FLU09O,Fluoxetine,fluoxetine hcl,N06AB03,N
FLU11I,Flumarin,flomoxef sodium,J01DC14,Y
FLU19I,Flucelvax,type a、a、b  influenza like virus,J07BB02,N
FLU22I,Fluad,type a、a、b  influenza like virus,J07BB02,N
FOL01O,Folic,folic acid,B03BB01,N
FOL02O,Folina,folinic acid,V03AF03,N
FON01O,Fonosil,fosinopril,C09AA09,N
FOR01I,Forteo,teriparatide,H05AA02,N
FOR01O,Forxiga,dapagliflozin propanediol monohydrate,A10BK01,N
FOR02O,Forlax,polyethylene glycol 4000,A06AD15,N
FOS01E,Foster,"beclomethasone dipropionate,formoterol f",R03AK08,N
FOS02E,FOSTER,"beclomethasone dipropionate,formoterol f",R03AK08,N
FOS04O,Fosamax,"alendronate, vit d3",M05BB03,N
FOS05O,Fosrenol,lanthanum carbonate hydrate,V03AE03,N
FOY01I,Foy,gabexate mesilate,V03AX,N
FRA01I,Fragmin,dalteparin na,B01AB04,N
FRE01I,Fresofol,propofol,N01AX10,N
FRE02I,FRESOFOL,propofol,N01AX10,N
FRE03I,Fresofol,propofol,N01AX10,N
FRI01O,Frisium,clobazam,N05BA09,N
FRU01O,Fruzaqla,fruquintinib,L01EK04,N
FUC02O,Fucon,hyoscine-n-butylbromide,A03BB01,N
FUC03E,Fucidin,fusidate,D06AX01,N
FUL03I,Fulphila,pegfilgrastim,L03AA13,N
FUL04I,Fulphila,pegfilgrastim,L03AA13,N
FUM01S,Fumide,furosemide,C03CA01,N
FUR02I,Furoxime,cefuroxime sodium,J01DC02,Y
FUS01O,Fusodate,fusidate,J01XC01,Y
FUS02E,Fuskin,fusidic acid,D06AX01,N
FUS03E,Fusone,betamethasone,S01BA06,N
GAL02O,Galvus,"vildagliptin, metformin hcl",A10BD08,N
GAR03I,GARDASIL,9-valent human papillomavirus,J07BM03,N
GAS07O,Gaslan,dimethylpolysiloxane,A03AX13,N
GAV01O,Gavreto,pralsetinib,L01EX23,N
GEN01O,Genurso,ursodeoxycholic acid,A05AA02,N
GEN06E,GenterMAY,gentamicin sulfate,D06AX07,N
GEN07E,Gentamycin,gentamicin sulfate,S01AA11,N
GEN11I,Gendobu,dobutamine (hcl),C01CA07,N
GEN12I,Genso,atracurium besylate,M03AC04,N
GEO02O,Geodon,ziprasidone hcl monohydrate,N05AE04,N
GES01O,Gestrin,gestrinone,G03XA02,N
GIK01O,GI,"polyethylene glycol 3350,potassium chlor",A06AX,N
GIK02O,Giko,ginkgo biloba  extract,N06DX02,N
GIO01O,GIOTRIF,afatinib dimaleate,L01EB03,N
GIO02O,Giotrif,afatinib dimaleate,L01EB03,N
GIP01I,Gipamine,"dopamine hcl,glucose",C01CA04,N
GIT01I,Gitose,glucose,B05BA03,N
GIT02I,Gitose,glucose,B05BA03,N
GIT03I,Gitose,glucose,B05BA03,N
GLU03I,Vitagen,glucose,B05BA03,N
GLU04I,Vitagen,glucose,B05BA03,N
GLU07O,Glucophage,metformin hcl,A10BA02,N
GLU13I,Vitagen,glucose,B05BA03,N
GLU18I,Dextrose,"glucose, nacl",B05BB02,N
GLU25I,Dextrose,"glucose, nacl",B05BA10,N
GLU28O,Glustrong,glucosamine sulfate,M01AX05,N
GLU29I,Glucagen,glucagon (hcl),H04AA01,N
GLU30I,Gluco-methionin,"dextrose,methionine,niacinamide,pyridoxi",B05BA,N
GLY01O,Glycopyrodyn,glycopyrrolate,A03AB02,N
GLY02I,Glypressin(新),terlipressin acetate,H01BA04,N
GLY02O,Glyxambi,"empagliflozin,linagliptin",A10BD19,N
GLY08I,Glycopyrodyn,glycopyrrolate,A03AB02,N
GLY11I,Glycetose," glycerol,fructose,nacl",B05BC,N
HAL01I,Haldol,haloperidol,N05AD01,N
HAL02O,Halcion,triazolam,N05CD05,N
HAR04O,HARNALIDGE,tamsulosin hcl,G04CA02,N
HEM11I,Hemoclot,tranexamic acid,B02AA02,N
HEP01I,Heparin,heparin sodium,B01AB01,N
HEP08I,Hepatect,human hepatitis b immunoglobulin,J06BB04,N
HEP16I,Hepac,heparin sodium,B01AB01,N
HER08I,Herbesser,diltiazem hcl,C08DB01,N
HID02O,Hidrasec,racecadotril,A07XA04,N
HUM08I,Humira,adalimumab,L04AB04,N
HUM12I,Humalog,"insulin lispro 25%,lispro protamine 75%",A10AD04,N
HUM14I,HUMALOG,"insulin lispro 50%,lispro protamine 50%",A10AD04,N
HYD02E,Hydrocortisone,hydrocortisone acetate,D07AA02,N
HYD03E,H2O2,hydrogen peroxide,D08AX01,N
HYD04O,Hydrea,hydroxyurea,L01XX05,N
HYZ01O,Hyzaar,"hydrochlorothiazide,losartan potassium",C09DA01,N
IBI01O,Ibimo,isosorbide-5-mononitrate,C01DA14,N
IBR01O,IBRANCE,palbociclib,L01EF01,N
IBR02O,Ibrance,palbociclib,L01EF01,N
ICH01E,Ichderm,doxepin hcl,D04AX,N
IDO02S,Idofen,ibuprofen,M01AE01,N
IMB01O,Imbruvica,ibrutinib,L01EL01,N
IMI01E,Imigran,sumatriptan,N02CC01,N
IMI02O,Imigran,sumatriptan,N02CC01,N
IMO02O,Imovane,zopiclone,N05CF01,N
IMU01O,Imuran,azathioprine,L04AX01,N
IND06O,Indoy,indomethacin,M01AB01,N
INL02O,INLYTA,axitinib,L01EK01,N
INR01O,Inrebic,fedratinib dihydrochloride monohydrate,L01EJ02,N
INS01O,Inspra,eplerenone,C03DA04,N
INS03I,Insulatard,human insulin (lente),A10AC01,N
INV01I,Invanz,ertapenem,J01DH03,Y
INV01O,Invega,paliperidone,N05AX13,N
INV02I,Invega,paliperidone,N05AX13,N
INV02O,INVEGA,paliperidone,N05AX13,N
INV03I,INVEGA,paliperidone,N05AX13,N
INV04I,Invega,paliperidone,N05AX13,N
INV05I,INVEGA,paliperidone,N05AX13,N
INV07I,INVEGA,paliperidone,N05AX13,N
IOP05I,Iopamiro,iopamidol,V08AB04,N
IPR02E,Ipratran,ipratropium,R03BB01,N
IRE01O,Iressa,gefitinib,L01EB01,N
ISO06O,Isoniazide,isoniazid,J04AC01,N
ISO07O,IsoMIL(Verapamil),verapamil,C08DA01,N
ISO08O,ISOPTIN,verapamil,C08DA01,N
ISO09O,Isormol(Is-5-Mn),isosorbide-5-mononitrate,C01DA14,N
ISO12O,Isobide,isosorbide dinitrate,C01DA08,N
JAD01O,Jadenu,deferasirox,V03AC03,N
JAK01O,Jakavi,ruxolitinib,L01EJ01,N
JAK02O,JAKAVI,ruxolitinib,L01EJ01,N
JAK03O,JAKAVI,ruxolitinib,L01EJ01,N
JAN01O,Januvia,sitagliptin,A10BH01,N
JAN02O,JANUMET,"metformin hcl,sitagliptin",A10BD07,N
JAR01O,Jardiance,empagliflozin,A10BK03,N
JAR02O,JARDIANCE,"empagliflozin,metformin hcl",A10BD20,N
JIN01O,Jinarc,tolvaptan,C03XA01,N
JIN02O,JINARC,tolvaptan,C03XA01,N
JIN03O,JINARC,tolvaptan,C03XA01,N
JIN04O,JINARC,tolvaptan,C03XA01,N
JIN05O,JINARC,tolvaptan,C03XA01,N
JUN01E,Jun,chlorhexidine gluconate,D08AC02,N
JUV01O,Juvela,tocopherol nicotinate,A11HA03,N
JYS01O,Jyseleca,filgotinib maleate,L04AF04,N
KAL01O,Kalimate,calcium polystyrene sulfonate,V03AE01,N
KAR01E,Kary,pirenoxine,S01XA,N
KCB01O,KCB,tripotassium dicitrate bismuthate,A07BB,N
KCI01O,K-Citrate,"potassium citrate monohydrate, citric ac",G04BC,N
KEL01E,Kelac,ketorolac,S01BC05,N
KEP01I,Keppra,levetiracetam,N03AX14,N
KEP01O,Keppra,levetiracetam,N03AX14,N
KEP01S,Keppra,levetiracetam,N03AX14,N
KER02O,Kerendia,finerenone,C03DA05,N
KER03O,KERENDIA,finerenone,C03DA05,N
KET01E,KETO,ketoprofen,M02AA10,N
KET01I,Ketalar,ketamine hcl,N01AX03,N
KET04O,Ketosteril,"ketoanalogues, essential amino acids",V06DD,N
KET05I,Keto,ketorolac,M01AB15,N
KGL01S,K-Glu,potassium gluconate,A12BA05,N
KID01S,Kidsolone,prednisolone,H02AB06,N
KIS01O,Kisqali,ribociclib,L01EF02,N
KLA01O,Klaricid,clarithromycin,J01FA09,Y
KOC01O,Kocel,psyllium husk,A06AC01,N
KRE03O,Kremezin,spherical absorptive carbon,A07BA01,N
LAB01O,Labtal,labetalol hcl,C07AG01,N
LAC02I,Lactated,"nacl, kcl, cacl2, sodium lactate",B05CB10,N
LAC03S,Lactul,lactulose,A06AD11,N
LAI01O,Laidec,riluzole,N07XX02,N
LAM02O,Lamictal,lamotrigine,N03AX09,N
LAN02O,Lanoxin,digoxin,C01AA05,N
LAN03I,Lanoxin,digoxin,C01AA05,N
LAT01O,Latuda,lurasidone,N05AE05,N
LCA01I,L-Carnit,levocarnitine,A16AA01,N
LEA01O,Leavdo,lenalidomide,L04AX04,N
LEE02O,Leevk,imatinib mesylate,L01EA01,N
LEN03O,Lendormin,brotizolam trituration,N05CD09,N
LEN04O,LENVIMA,lenvatinib mesilate,L01EX08,N
LEN05O,Lenvima,lenvatinib mesilate,L01EX08,N
LEQ01I,Leqvio,inclisiran sodium,C10AX16,N
LEQ02I,Leqembi,lecanemab,N06DX04,N
LES03O,Lescol,fluvastatin (sodium),C10AA04,N
LES05O,Lesiton,dihydroergotamine methanesulfonate,N02CA01,N
LEU05I,Leuplin,leuprorelin acetate,L02AE02,N
LEU05O,Leukeran,chlorambucil,L01AA02,N
LEU09I,Leuplin,leuprorelin acetate,L02AE02,N
LEV02I,Levemir,insulin detemir,A10AE05,N
LEX04O,Lexotan,bromazepam,N05BA08,N
LHR02I,LHRH,gonadorelin acetate,H01CA01,N
LIC01O,Licodin,ticlopidine hcl,B01AC05,N
LID01E,Lidopat,lidocaine,D04AB01,N
LID01I,Lidophrine,"lidocaine 2%,epinephrine0.002%",N01BB52,N
LID01O,Lidin,lithium carbonate,N05AN01,N
LID02E,Lidocaine,lidocaine,N01BB02,N
LID03I,Lidocaine,lidocaine,C01BB01,N
LID04I,Lidocaine,lidocaine,N01BB02,N
LIN01O,Linicor,"niacin, lovastatin",C10AD52,N
LIN03O,Lindacin,clindamycin,J01FF01,Y
LIP01O,LipDOWN,gemfibrozil,C10AB04,N
LIP13O,Lipitor,atorvastatin,C10AA05,N
LIP14O,Lipanthyl,fenofibrate,C10AB05,N
LIV01O,Livial,tibolone,G03CX01,N
LIV02O,Livalo,pitavastatin,C10AA08,N
LIX01O,Lixiana,edoxaban,B01AF03,N
LIX02O,LIXIANA,edoxaban,B01AF03,N
LIX03O,Lixiana,edoxaban,B01AF03,N
LIX04O,Lixiana,edoxaban,B01AF03,N
LIX05O,Lixiana,edoxaban,B01AF03,N
LIX06O,LIXIANA,edoxaban,B01AF03,N
LOK01O,Lokelma,sodium zirconium cyclosilicate,V03AE10,N
LOM02E,Lomexin,fenticonazole,D01AC12,N
LON02O,Lonine,etodolac,M01AB08,N
LON04O,LONSURF,"tipiracil hydrochloride,trifluridine",L01BC59,N
LON05O,Lonsurf,"tipiracil hydrochloride,trifluridine",L01BC59,N
LON06O,Lonfilis,tadalafil,G04BE08,N
LOP02O,Loperam,loperamide hcl,A07DA03,N
LOR02O,Lorviqua,lorlatinib,L01ED05,N
LOW01I,Low,"dextran 40,dextrose",B05AA05,N
LOX01O,Loxol,ambroxol hcl,R05CB06,N
LUC01O,Luckyhepa,"b12,b2,b6,nicotina,silymarin,vit b1",A05BA03,N
LUC02I,Lucentis,ranibizumab,S01LA04,N
LUC03I,Lucentis,ranibizumab,S01LA04,N
LUM01E,Lumigan,bimatoprost,S01EE03,N
LUM03I,Lumicef,brodalumab,L04AC12,N
LYA01I,Lyacety,aspirin (acetylsalicylic acid),N02BA01,N
LYN01O,Lynparza,olaparib,L01XK01,N
LYR01O,Lyrica,pregabalin,N02BF02,N
MAC02O,Macalol,vitamin d derivative (calcitriol),A11CC04,N
MAD03O,Madopar,"levodopa,benserazide",N04BA02,N
MAD04O,MADOPAR,"levodopa,benserazide",N04BA02,N
MAG03I,Mag.,magnesium sulfate,A12CC02,N
MAG05O,Magnesium,magnesium oxide,A06AD02,N
MAN01I,Maniton,mannitol,B05BC01,N
MAR01I,Marcaine,bupivacain hcl,N01BB01,N
MAR02I,Marcaine,bupivacain hcl,N01BB01,N
MAR03I,Marcaine,bupivacain hcl,N01BB01,N
MAV02O,Mavenclad,cladribine,L04AA40,N
MEC01O,Meclizine,meclizine hcl,R06AE05,N
MEC02O,Mecater,procaterol hydrochloride hemihydrate,R03CC08,N
MED02O,Medicon-A,"dextromethorphan hbr, pot. cresolsulfona",R05FA02,N
MEG04S,Megest,megestrol acetate,L02AB01,N
MEK01O,Mekinist,trametinib,L01EE01,N
MEL02O,Meletin,mexiletine hcl,C01BB02,N
MEL03O,Meloxin,meloxicam,M01AC06,N
MEN01I,Menocik,minocycline,J01AA08,Y
MEN01O,Menisone,methylprednisolone,H02AB04,N
MEN06E,Menphencala,"calamine, zinc oxide, sodium carboxymeth",D02AB,N
MEP01S,Meptin,procaterol hcl hemihydrate,R03CC08,N
MEP02I,Mepem,meropenem,J01DH02,Y
MER02O,Mero,minocycline,J01AA08,Y
MES01E,Mesa,mesna,R05CB05,N
MES01O,Mestinon,pyridostigmine,N07AA02,N
MES02O,Mesyrel,trazodone hcl,N06AX05,N
MET02I,Methycobal,mecobalamin,B03BA05,N
MET05O,Methotrexate,methotrexate,L04AX03,N
MET06O,Methyldopa,methyldopa,C02AB01,N
MET07O,MethyCOBAL(B12),mecobalamin,B03BA05,N
MET15I,Methylergonovine,methylergonovine maleate,G02AB01,N
MET18O,Metrozole,metronidazole,P01AB01,Y
MET19O,Methydur,methylphenidate,N06BA04,N
MET20O,METHYDUR,methylphenidate,N06BA04,N
MEV05O,Mevalotin,pravastatin,C10AA03,N
MEZ01O,Mezavant,mesalazine,A07EC02,N
MIA02I,Miacalcic,salmon calcitonin,H05BA01,N
MID01I,Midatin,midazolam,N05CD08,N
MID01O,Midorine,midodrine hcl,C01CA17,N
MID02I,MIDATIN,midazolam,N05CD08,N
MIL02I,Millisrol,nitroglycerin,C01DA02,N
MIN06I,Minirin,desmopressin acetate (ddavp),H01BA02,N
MIN08O,MINIRIN,desmopressin,H01BA02,N
MIR01I,Mircera,methoxy polyethylene glycol-epoetin beta,B03XA01,N
MIR03E,Mirena,levonorgestrel,G03AD01,N
MIR03I,MIRCERA,methoxy polyethylene glycol-epoetin beta,B03XA01,N
MIR03O,Mirobect,atenolol,C07AB03,N
MIR04O,Mirapex,pramipexole,N04BC05,N
MIR05O,MIRAPEX,pramipexole,N04BC05,N
MIY01O,Miyarisan,clostridium butyricum miyairi,A07FA,N
MIY02O,Miyaphargen,"dl-methionine,glycine,glycyrrhizin",A05BA,N
MMR04I,MMR,measles-mumps-rubella vaccine,J07BD52,N
MMR06I,MMR,measles-mumps-rubella vaccine,,N
MOC01O,Mocalm,"flupentixol 0.5mg,melitracen 10mg",N06AA14,N
MOD02O,Modipanol,flunitrazepam,N05CD03,N
MON04O,Monurol,fosfomycin trometamol,J01XX01,Y
MOP01O,Mopride,mosapride,A03FA09,N
MOR01I,Morphine,morphine,N02AA01,N
MOR06O,Morphine,morphine sulphate,N02AA01,N
MOU01I,Mounjaro,tirzepatide,A10BX16,N
MOU02I,Mounjaro,tirzepatide,A10BX16,N
MOU03I,Mounjaro,tirzepatide,A10BX16,N
MOU04I,MOUNJARO,tirzepatide,A10BX16,N
MOU05I,MOUNJARO,tirzepatide,A10BX16,N
MUA01O,Muaction,tramadol hcl,N02AX02,N
MUL01O,Multaq,dronedarone hydrochloride,C01BD07,N
MYC01I,Mycamine,micafungin sodium,J02AX05,Y
MYC02O,Mycobutin,rifabutin,J04AB04,N
MYC03E,My,"neomycin,nystatin,gramicidin,triamcinolo",D07CB01,N
MYC04O,Mycros,metolazone,C03BA08,N
MYC05O,Mycocep,mycophenolate mofetil,L04AA06,N
MYF01O,Myfortic,mycophenolic acid,L04AA06,N
NAL01I,Naloxone,naloxone,V03AB15,N
NAL02I,Naldebain,dinalbuphine sebacate,N02AF02,N
NAP04O,Naposin,naproxen,M01AE02,N
NAT01E,Natesto,testosterone,G03BA03,N
NAT03O,Natrilix,indapamide hemihydrate,C03BA11,N
NAV04O,Navelbine,vinorelbine tartrate,L01CA04,N
NAV05O,NAVELBINE,vinorelbine tartrate,L01CA04,N
NEB01I,Nebido,testosterone undecanoate,G03BA03,N
NEB01O,Nebilet,nebivolol,C07AB12,N
NEO01E,Neomycin,neomycin sulfate,D06AX04,N
NEO02E,Neostigmin,neostigmine methylsulfate,S01EB06,N
NEO02O,Neomycin,neomycin sulfate,J01GB05,Y
NEO04E,NEO,purified perillyl alcohol,,N
NEO05O,Neoral,cyclosporine,L04AD01,N
NEO05S,Neoral,cyclosporine,L04AD01,N
NEO06O,Neoral,cyclosporine,L04AD01,N
NEP01I,Nephrosteril,"amino acids 7%(60% essential, 40% non-es",B05BA01,N
NER01O,Nerlynx,neratinib,L01EH02,N
NES02I,NESP,darbepoetin alfa,B03XA02,N
NEU01E,Neupro,rotigotine,N04BC09,N
NEU01O,Neuquinon,ubidecarenone,C01EB09,N
NEU02E,NEUPRO,rotigotine,N04BC09,N
NEU03O,Neurontin,gabapentin,N02BF01,N
NEU04O,NEURONTIN,gabapentin,N02BF01,N
NEX01O,Nexium,esomeprazole,A02BC05,N
NEX02O,Nexavar,sorafenib,L01EX02,N
NIC01E,Nicorette,nicotine,N07BA01,N
NIC04O,Nicorette,nicotine,N07BA01,N
NIC05O,NICORETTE,nicotine,N07BA01,N
NIF01O,Nifedipine,nifedipine,C08CA05,N
NIG01O,Nigoline,nicergoline,C04AE02,N
NIL02O,Nilasen,betahistine 2hcl,N07CA01,N
NIM01I,Nimotop,nimodipine,C08CA06,N
NIM01O,Nimotop,nimodipine,C08CA06,N
NIM03I,Nimbex,cisatracurium besylate,M03AC11,N
NIN01O,Ninlaro,ixazomib citrate,L01XG03,N
NIN02E,Nincort,triamcinolone acetonide,A01AC01,N
NIN02O,NINLARO,ixazomib citrate,L01XG03,N
NIV01I,Nivestim,filgrastim,L03AA02,N
NOL01O,Nolvadex,tamoxifen,L02BA01,N
NOO02I,Noopol,piracetam,N06BX03,N
NOR01I,Norepinephrine,norepinephrine bitartrate (l-arterenol/l,C01CA03,N
NOR01O,Norina,norethisterone acetate,G03DC02,N
NOR04I,Normal,sodium chloride,B05XA03,N
NOR07O,Norvasc,amlodipine besylate,C08CA01,N
NOR26I,Isotonic,sodium chloride,B05XA03,N
NOR28E,N.S.,sodium chloride,B05CB01,N
NOR29E,N.S.,sodium chloride,B05CB01,N
NOT02O,Notholic,naltrexone hcl,N07BB04,N
NOV01I,Novamin,prochlorperazine,N05AB04,N
NOV04I,NovoRapid,insulin aspart,A10AB05,N
NOV07I,NovoRapid,insulin aspart,A10AB05,N
NOV08I,NovoMix,"30%insulin aspart,70%protamine",A10AD05,N
NTG01O,NTG,nitroglycerin,C01DA02,N
NUB01O,Nubeqa,darolutamide,L02BB06,N
NUC02I,Nucala,mepolizumab,R03DX09,N
NUR01O,Nurtec,rimegepant,N02CD06,N
NUS01O,Nuspas,hyoscyamine sulfate,A03BA03,N
NYS01O,Nystatin,nystatin,A07AA02,Y
OFE01O,Ofev,nintedanib ethanesulfonate,L01EX09,N
OLA01O,Olan,olanzapine,N05AH03,N
OLM03O,Olmetec,olmesartan medoxomil,C09CA08,N
OLS01O,OlsaaCa,"amlodipine 5mg,olmesartan 40mg",C09DB02,N
OLU01O,Olumiant,baricitinib,L04AA37,N
ONC01I,OncoTICE(2-8x10^8,bcg,L03AX03,N
ONG01O,ONGLYZA,saxagliptin,A10BH03,N
ONG03O,Ongentys,opicapone,N04BX04,N
OPI01E,Opiodur,fentanyl,N02AB03,N
OPI02E,Opiodur,fentanyl,N02AB03,N
OPS01O,Opsumit,macitentan,C02KX04,N
OPT01E,Optive,"carboxymethylcellulose sodium,glycerin",S01XA20,N
OPT02E,Optive,"carboxymethylcellulose sodium,glycerin,p",S01XA,N
ORA02O,Oraphine,nalbuphine hydrochloride,N02AF02,N
ORE01I,ORENCIA,abatacept,L04AA24,N
ORE02I,Orencia,abatacept,L04AA24,N
OTO01E,Otozambon,"polymyxin b, neomycin, lidocaine",S02AA30,N
OXA03I,Oxacillin,oxacillin,J01CF04,Y
OXB01O,Oxbu,oxybutynin chloride,G04BD04,N
OXY01I,Oxytocin,oxytocin,H01BB02,N
OXY01O,OxyNorm,oxycodone,N02AA05,N
OXY02O,Oxycontin,oxycodone,N02AA05,N
OXY03O,OXYCONTIN,oxycodone,N02AA05,N
OXY04O,Oxycodone,oxycodone,N02AA05,N
OZE01I,Ozempic,semaglutide,A10BJ06,N
OZE02I,OZEMPIC,semaglutide,A10BJ06,N
OZU01I,Ozurdex,dexamethasone,S01BA01,N
OZU02I,Ozurdex(恩慈),dexamethasone,S01BA01,N
PAI02O,Painkyl,fentanyl citrate,N02AB03,N
PAN01O,Pantoloc,pantoprazole sodium,A02BC02,N
PAN02I,Pantoloc,pantoprazole sodium,A02BC02,N
PAR08E,Parmason,chlorhexidine gluconate,R02AA05,N
PAR08O,Pariet,sodium rabeprazole,A02BC04,N
PAR09O,Parotin,dipyridamole,B01AC07,N
PAT02E,Patanol,olopatadine,S01GX09,N
PAT02I,Patent,patent blue v,V04CX09,N
PAX03O,Paxlovid,"nirmatrelvir,ritonavir",J05AE03,N
PEN01O,Pentop,pentoxifylline,C04AD03,N
PEN02O,Pentasa,mesalazine,A07EC02,N
PEN03O,Pentixol,flupenthixol,N05AF01,N
PEN05I,Penicillin,penicillin g sodium,J01CE01,Y
PEN11I,Penem,"imipenem,cilastatin",J01DH51,Y
PER04E,Permethrin,permethrin,P03AC04,N
PER05I,Perdipine,nicardipine hcl,C08CA04,N
PEY01I,Peyona,caffeine citrate,N06BC01,N
PG201I,PG2,polysaccharides of astragalus membranace,V03AX,N
PHE01I,Phenobital,phenobarbital,N03AA02,N
PHE01O,Phenobarbital,phenobarbital,N03AA02,N
PHE03E,Phenylephrine,phenylephrine hcl,S01FB01,N
PHI01E,Phisohex,chlorhexidine gluconate,D08AC02,N
PHY01I,Phytonadione(Vit,vitamin k1 (phytonadione),B02BA01,N
PIC03O,Picetam,piracetam,N06BX03,N
PIL04O,Pilian,cyproheptadine,R06AX02,N
PIL06E,Pilocarpine,pilocarpine,S01EB01,N
PIN01O,Pinsaun,amitriptyline hcl,N06AA09,N
PIQ03O,Piqray,alpelisib,L01EM03,N
PIR01O,Pirespa,pirfenidone,L04AX05,N
PIR01S,Piracetam,piracetam,N06BX03,N
PIT02I,Pitressin,vasopressin (anginine vasopressin),H01BA01,N
PLA02O,Plaquenil,hydroxychloroquine sulfate,P01BA02,N
PLA03O,Plavix,clopidogrel,B01AC04,N
PLE02E,Plegisol,"nacl, cacl2.2h2o, mgcl2.6h2o, kcl",B05CB10,N
PLE02O,Pletaal,cilostazol,B01AC23,N
PLE03I,PLEGRIDY,peginterferon beta-1a,L03AB13,N
PMS01O,Pms-Desmopressin,desmopressin acetate trihydrate,H01BA02,N
PNE05I,Pneumovax,pneumococcal vaccine polyvalent,J07AL01,N
POM01O,Pomalyst,pomalidomide,L04AX06,N
POM02O,POMALYST,pomalidomide,L04AX06,N
POS04E,Posuline,"cinchocaine hydrochloride,polycresolsulf",C05AD04,N
POS04O,Posanol,posaconazole,J02AC04,Y
POT01I,Pot,potassium chloride,A12BA01,N
PRA01O,Pradaxa,dabigatran etexilate mesilate,B01AE07,N
PRA02O,PRADAXA,dabigatran etexilate mesilate,B01AE07,N
PRA03I,Praluent,alirocumab,C10AX14,N
